resource,rdf:type,rdf:type,rdfs:label,skos:prefLabel @en,dcterms:source @anyURI,dcterms:description @en,rdfs:comment @en
osgeo-source:ISO-19111-2019,osgeo:Source,owl:NamedIndividual,ISO 19111:2019,ISO 19111:2019,https://www.iso.org/standard/74039.html,Geographic information — Referencing by coordinates,
osgeo-source:ISO-19115-1-2014,osgeo:Source,owl:NamedIndividual,ISO 19115-1:2014,ISO 19115-1:2014,https://www.iso.org/standard/53798.html,Geographic information — Metadata — Part 1: Fundamentals,
osgeo-source:ISO-19115-2-2019,osgeo:Source,owl:NamedIndividual,ISO 19115-2:2019,ISO 19115-2:2019,https://www.iso.org/standard/67039.html,Geographic information — Metadata — Part 2: Extensions for acquisition and processing,
osgeo-source:ISO-19123-2005,osgeo:Source,owl:NamedIndividual,ISO 19123:2005,ISO 19123:2005,https://www.iso.org/standard/40121.html,Geographic information — Schema for coverage geometry and functions,
osgeo-source:ISO-19128-2005,osgeo:Source,owl:NamedIndividual,ISO 19128:2005,ISO 19128:2005,https://www.iso.org/standard/32546.html,Geographic information — Web map server interface,
osgeo-source:ISO-19130-1-2018,osgeo:Source,owl:NamedIndividual,ISO 19130-1:2018,ISO 19130-1-2018,https://www.iso.org/standard/66847.html,Geographic information — Imagery sensor models for geopositioning — Part 1: Fundamentals,
osgeo-source:ISO-19133-2005,osgeo:Source,owl:NamedIndividual,ISO 19133:2005,ISO 19133:2005,https://www.iso.org/standard/32551.html,Geographic information — Location-based services — Tracking and navigation,
osgeo-source:ISO-19156-2011,osgeo:Source,owl:NamedIndividual,ISO 19156:2011,ISO 19156:2011,https://www.iso.org/standard/32574.html,Geographic information — Observations and measurements,
osgeo-source:ISO-19129-2009,osgeo:Source,owl:NamedIndividual,ISO/TS 19129:2009,ISO/TS 19129:2009,https://www.iso.org/standard/43041.html,"Geographic information — Imagery, gridded and coverage data framework",
osgeo-source:ISO-19136-2007,osgeo:Source,owl:NamedIndividual,ISO 19136:2007,ISO 19136:2007,https://www.iso.org/standard/32554.html,Geographic information — Geography Markup Language (GML),
osgeo-source:ISO-19155-2012,osgeo:Source,owl:NamedIndividual,ISO 19155:2012,ISO 19155:2012,https://www.iso.org/standard/32573.html,Geographic information — Place Identifier (PI) architecture,
osgeo-source:ISO-19156-2011,osgeo:Source,owl:NamedIndividual,ISO 19156:2011,ISO 19156:2011,https://www.iso.org/standard/32574.html,Geographic information — Observations and measurements,
osgeo-source:ISO-19129-2009,osgeo:Source,owl:NamedIndividual,ISO/TS 19129:2009,ISO/TS 19129:2009,https://www.iso.org/standard/43041.html,"Geographic information — Imagery, gridded and coverage data framework",
